Code.T,Company Name,Market Segment,Industry,Fiscal Year End
1301.T,"KYOKUYO CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March
1332.T,Nissui Corporation,Prime,"Fishery, Agriculture & Forestry",March
1333.T,Maruha Nichiro Corporation,Prime,"Fishery, Agriculture & Forestry",March
1375.T,"YUKIGUNI MAITAKE CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March
1376.T,"KANEKO SEEDS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",May
1377.T,SAKATA SEED CORPORATION,Prime,"Fishery, Agriculture & Forestry",May
1379.T,HOKUTO CORPORATION,Prime,"Fishery, Agriculture & Forestry",March
1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",March
1381.T,"AXYZ CO.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June
1382.T,"HOB Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June
1383.T,"Berg Earth co.,ltd.",Standard,"Fishery, Agriculture & Forestry",October
1384.T,"Hokuryo Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",March
1400.T,"RUDEN HOLDINGS CO.,Ltd.",Growth,Construction,December
1401.T,"mbs,inc.",Growth,Construction,May
1407.T,West Holdings Corporation,Standard,Construction,August
1414.T,"SHO-BOND Holdings Co.,Ltd.",Prime,Construction,June
1417.T,MIRAIT ONE Corporation,Prime,Construction,March
1418.T,"INTERLIFE HOLDINGS CO.,LTD.",Standard,Construction,February
1419.T,"Tama Home Co.,Ltd.",Prime,Construction,May
1420.T,Sanyo Homes Corporation,Standard,Construction,March
1429.T,"Nippon Aqua Co.,Ltd.",Prime,Construction,December
1430.T,First-corporation Inc.,Prime,Construction,May
1431.T,"Lib Work Co.,Ltd.",Growth,Construction,June
1432.T,"DORYOKU Co.,Ltd.",TOKYO PRO Market,Construction,March
1433.T,"BESTERRA CO.,LTD",Prime,Construction,January
1434.T,"JESCO Holdings,Inc.",Standard,Construction,August
1435.T,"Robot Home,Inc.",Prime,Construction,December
1436.T,Fit Corporation,Growth,Construction,April
1438.T,"Gifu landscape architect Co.,Ltd.",Standard,Construction,September
1439.T,YASUE CORPORATION,Standard,Construction,December
1440.T,"YAMAZEN HOMES CO.,LTD.",TOKYO PRO Market,Construction,July
1443.T,"Giken Holdings Co.,Ltd.",Standard,Construction,March
1444.T,"Nissou Co.,Ltd.",Growth,Construction,July
1445.T,"Hikari Holdings Co.,Ltd.",TOKYO PRO Market,Construction,August
1446.T,"CANDEAL Co.,Ltd.",Standard,Construction,September
1447.T,"ITbook Holdings Co.,LTD.",Growth,Construction,March
1450.T,TANAKEN,Standard,Construction,March
1451.T,KHC Ltd.,Standard,Construction,March
1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",TOKYO PRO Market,Construction,February
1491.T,"Chugai Mining Co.,Ltd.",Standard,Nonferrous Metals,March
1514.T,"Sumiseki Holdings,Inc.",Standard,Mining,March
1515.T,"Nittetsu Mining Co.,Ltd.",Prime,Mining,March
1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Prime,Mining,March
1605.T,INPEX CORPORATION,Prime,Mining,December
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Prime,Mining,March
1663.T,K&O Energy Group Inc.,Prime,Mining,December
1711.T,"SDS HOLDINGS Co.,Ltd.",Standard,Construction,March
1712.T,"Daiseki Eco.Solution Co.,Ltd.",Prime,Construction,February
1716.T,DAI-ICHI CUTTER KOGYO K.K.,Prime,Construction,June
1717.T,Meiho Facility Works Ltd.,Standard,Services,March
1718.T,"MIKIKOGYO CO.,LTD.",Standard,Construction,December
1719.T,HAZAMA ANDO CORPORATION,Prime,Construction,March
1720.T,"TOKYU CONSTRUCTION CO., LTD.",Prime,Construction,March
1721.T,COMSYS Holdings Corporation,Prime,Construction,March
1723.T,"NIHON DENGI CO.,LTD.",Standard,Construction,March
1724.T,SYNCLAYER INC.,Standard,Construction,December
1726.T,Br.Holdings Corporation,Prime,Construction,March
1730.T,"ASO FOAM CRETE Co.,Ltd.",Standard,Construction,March
1736.T,OTEC CORPORATION,Standard,Construction,March
1739.T,"MELDIA Development & Construction CO.,LTD.",Growth,Construction,June
1743.T,"KOATSU KOGYO CO.,LTD.",Standard,Construction,September
1757.T,"Souken Ace Co.,Ltd.",Standard,Construction,March
1758.T,"Taiyo Kisokogyo Co.,Ltd.",Standard,Construction,January
1762.T,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Prime,Construction,March
1764.T,KUDO CORPORATION,Standard,Construction,June
1766.T,TOKEN CORPORATION,Prime,Construction,April
1768.T,SONEC CORPORATION,Standard,Construction,March
1770.T,"FUJITA ENGINEERING CO.,LTD.",Standard,Construction,March
