Code ,Company Name,Market Segment,Industry,Fiscal Year End
13010,"KYOKUYO CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March
13320,Nissui Corporation,Prime,"Fishery, Agriculture & Forestry",March
13330,Maruha Nichiro Corporation,Prime,"Fishery, Agriculture & Forestry",March
13750,"YUKIGUNI MAITAKE CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March
13760,"KANEKO SEEDS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",May
13770,SAKATA SEED CORPORATION,Prime,"Fishery, Agriculture & Forestry",May
13790,HOKUTO CORPORATION,Prime,"Fishery, Agriculture & Forestry",March
13800,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",March
13810,"AXYZ CO.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June
13820,"HOB Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June
13830,"Berg Earth co.,ltd.",Standard,"Fishery, Agriculture & Forestry",October
13840,"Hokuryo Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",March
14000,"RUDEN HOLDINGS CO.,Ltd.",Growth,Construction,December
14010,"mbs,inc.",Growth,Construction,May
14070,West Holdings Corporation,Standard,Construction,August
14140,"SHO-BOND Holdings Co.,Ltd.",Prime,Construction,June
14170,MIRAIT ONE Corporation,Prime,Construction,March
14180,"INTERLIFE HOLDINGS CO.,LTD.",Standard,Construction,February
14190,"Tama Home Co.,Ltd.",Prime,Construction,May
14200,Sanyo Homes Corporation,Standard,Construction,March
14290,"Nippon Aqua Co.,Ltd.",Prime,Construction,December
14300,First-corporation Inc.,Prime,Construction,May
14310,"Lib Work Co.,Ltd.",Growth,Construction,June
14320,"DORYOKU Co.,Ltd.",TOKYO PRO Market,Construction,March
14330,"BESTERRA CO.,LTD",Prime,Construction,January
14340,"JESCO Holdings,Inc.",Standard,Construction,August
14350,"Robot Home,Inc.",Prime,Construction,December
14360,Fit Corporation,Growth,Construction,April
14380,"Gifu landscape architect Co.,Ltd.",Standard,Construction,September
